Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"6","Magnus Ditlev","Male","Virum","","DK","MPRO","FIN","3:47:50","0:22:53","","2:07:18","","1:12:13","1","1","1","3500","14","14","14","1","1","1","1","1","1","13670","1373","247","7638","78","4333"
"6","Magnus Ditlev","Male","Virum","","DK","MPRO","FIN","3:47:50","0:22:53","","2:07:18","","1:12:13","1","1","1","3500","14","14","14","1","1","1","1","1","1","13670","1373","247","7638","78","4333"
"19","Aaron Royle","Male","Coniston","","AU","MPRO","FIN","3:48:34","0:21:34","","2:10:36","","1:11:15","2","2","2","3486","3","3","3","3","3","3","2","2","2","13714","1294","231","7836","79","4275"
"19","Aaron Royle","Male","Coniston","NSW","AU","MPRO","FIN","3:48:34","0:21:34","","2:10:36","","1:11:15","2","2","2","3486","3","3","3","3","3","3","2","2","2","13714","1294","231","7836","79","4275"
"32","Menno Koolhaas","Male","Sittard","","NL","MPRO","FIN","3:48:45","0:21:47","","2:12:09","","1:09:46","3","3","3","3483","7","7","7","8","8","8","3","3","3","13725","1307","230","7929","73","4186"
"32","Menno Koolhaas","Male","Sittard","","NL","MPRO","FIN","3:48:45","0:21:47","","2:12:09","","1:09:46","3","3","3","3483","7","7","7","8","8","8","3","3","3","13725","1307","230","7929","73","4186"
"8","Clément Mignon","Male","Roullet","","FR","MPRO","FIN","3:48:57","0:21:39","","2:10:28","","1:11:24","4","4","4","3479","5","5","5","4","4","4","4","4","4","13737","1299","235","7828","91","4284"
"8","Clément Mignon","Male","Nice","foreigner","FR","MPRO","FIN","3:48:57","0:21:39","","2:10:28","","1:11:24","4","4","4","3479","5","5","5","4","4","4","4","4","4","13737","1299","235","7828","91","4284"
"52","Manoel Messias Dos Santos Junior","Male","São Carlos","","BR","MPRO","FIN","3:49:28","0:22:53","","2:11:08","","1:10:09","5","5","5","3470","15","15","15","11","11","11","5","5","5","13768","1373","227","7868","90","4209"
"52","Manoel Messias Dos Santos Junior","Male","São Carlos","BR-SP","BR","MPRO","FIN","3:49:28","0:22:53","","2:11:08","","1:10:09","5","5","5","3470","15","15","15","11","11","11","5","5","5","13768","1373","227","7868","90","4209"
